id,number,available_bikes,available_bike_stands,status,last_update
1,42,28,2,OPEN,2025-03-23 10:12:34
2,30,0,20,OPEN,2025-03-23 10:12:34
3,54,6,27,OPEN,2025-03-23 10:12:34
4,108,0,35,OPEN,2025-03-23 10:12:34
5,20,3,27,OPEN,2025-03-23 10:12:34
6,56,2,38,OPEN,2025-03-23 10:12:35
7,6,19,1,OPEN,2025-03-23 10:12:35
8,18,11,19,OPEN,2025-03-23 10:12:35
9,32,15,15,OPEN,2025-03-23 10:12:35
10,52,32,0,OPEN,2025-03-23 10:12:35
11,48,2,38,OPEN,2025-03-23 10:12:35
12,13,10,20,OPEN,2025-03-23 10:12:35
13,43,2,28,OPEN,2025-03-23 10:12:35
14,31,16,4,OPEN,2025-03-23 10:12:35
15,98,34,6,OPEN,2025-03-23 10:12:36
16,14,30,0,OPEN,2025-03-23 10:12:36
17,1,31,0,OPEN,2025-03-23 10:12:36
18,23,21,9,OPEN,2025-03-23 10:12:36
19,106,0,40,OPEN,2025-03-23 10:12:36
20,112,1,29,OPEN,2025-03-23 10:12:36
21,68,2,38,OPEN,2025-03-23 10:12:36
22,74,6,24,OPEN,2025-03-23 10:12:36
23,87,28,10,OPEN,2025-03-23 10:12:37
24,84,18,12,OPEN,2025-03-23 10:12:37
25,90,8,32,OPEN,2025-03-23 10:12:37
26,11,11,19,OPEN,2025-03-23 10:12:37
27,17,19,1,OPEN,2025-03-23 10:12:37
28,45,18,12,OPEN,2025-03-23 10:12:37
29,114,3,37,OPEN,2025-03-23 10:12:37
30,72,17,14,OPEN,2025-03-23 10:12:37
31,63,23,12,OPEN,2025-03-23 10:12:38
32,113,9,20,OPEN,2025-03-23 10:12:38
33,91,26,4,OPEN,2025-03-23 10:12:38
34,99,1,29,OPEN,2025-03-23 10:12:38
35,9,24,0,OPEN,2025-03-23 10:12:38
36,67,17,23,OPEN,2025-03-23 10:12:38
37,116,0,30,OPEN,2025-03-23 10:12:38
38,55,2,34,OPEN,2025-03-23 10:12:38
39,62,4,36,OPEN,2025-03-23 10:12:39
40,5,15,25,OPEN,2025-03-23 10:12:39
41,97,35,5,OPEN,2025-03-23 10:12:39
42,61,0,25,OPEN,2025-03-23 10:12:39
43,77,25,4,OPEN,2025-03-23 10:12:39
44,73,8,22,OPEN,2025-03-23 10:12:39
45,4,20,0,OPEN,2025-03-23 10:12:39
46,49,4,36,OPEN,2025-03-23 10:12:39
